ID     dec  year mo dy hr name       allLat     allLon     midLat     midLon     firstLat   firstLon   lastLat    lastLon
185101 1850 1851  6 25  6 NOT NAMED   28.976692 -98.252924  28.976692 -98.252924  28.076275 -96.224576  30.250083 -100.024174
185104 1850 1851  8 16  0 NOT NAMED   26.829959 -72.331337  27.138592 -86.057313  13.881434 -50.322127  45.599889 -58.853256
185106 1850 1851 10 16  0 NOT NAMED   33.509780 -75.022302  30.365258 -76.847310  29.350426 -77.601722  39.425580 -72.034785
185201 1850 1852  8 19  0 NOT NAMED   28.163609 -79.666525  26.457488 -85.498040  20.802497 -68.373627  38.758533 -70.083936
185203 1850 1852  9  9  0 NOT NAMED   28.259225 -83.526512  28.259225 -83.526512  26.527588 -89.225591  31.430344 -75.554420
185205 1850 1852 10  6  0 NOT NAMED   25.871634 -80.753677  25.871634 -80.753677  17.130446 -75.724365  37.321818 -71.856550
185401 1850 1854  6 25  0 NOT NAMED   26.486666 -96.653463  26.020576 -93.899720  26.001075 -93.250000  27.159962 -100.740924
185403 1850 1854  9  7  0 NOT NAMED   35.005126 -72.873018  35.005126 -72.873018  27.604478 -78.090874  40.062346 -53.357917
185404 1850 1854  9 18  0 NOT NAMED   29.163782 -95.454490  29.163782 -95.454490  28.501144 -94.348815  29.850195 -96.375641
185505 1850 1855  9 15  0 NOT NAMED   29.400313 -89.154477  28.625063 -89.299380  27.350058 -89.224423  31.550634 -88.904568
185601 1850 1856  8  9  0 NOT NAMED   28.639382 -89.492001  28.361388 -89.755297  26.007381 -85.815797  30.775466 -91.576285
185603 1850 1856  8 19  0 NOT NAMED   37.610337 -73.809590  37.610337 -73.809590  34.325597 -76.069822  40.521824 -70.264673
185605 1850 1856  8 25  0 NOT NAMED   28.281223 -77.550492  25.277148 -86.619187  21.078739 -71.324410  38.926794 -57.197801
185702 1850 1857  9  6 18 NOT NAMED   35.427619 -69.957406  31.114972 -77.132538  26.825175 -72.700508  48.586607 -36.098782
185704 1850 1857  9 24  0 NOT NAMED   19.589179 -77.219611  18.706261 -81.733939  16.006505 -56.950000  25.661868 -96.609953
185803 1850 1858  9 14  0 NOT NAMED   33.938015 -77.794905  32.393420 -77.845343  26.503246 -83.408500  43.872911 -70.749359
185905 1850 1859  9 15  0 NOT NAMED   34.978404 -80.097734  34.978404 -80.097734  28.775097 -88.875849  41.580849 -63.461102
185907 1850 1859 10 16  0 NOT NAMED   25.968617 -78.226375  25.968617 -78.226375  25.251060 -75.799359  26.677651 -80.772254
185908 1850 1859 10 24  0 NOT NAMED   24.054161 -88.318614  21.988746 -92.327648  20.375005 -93.275037  31.108575 -72.034306
186001 1860 1860  8  8  0 NOT NAMED   29.999206 -84.234776  28.513325 -89.701089  27.800691 -84.675275  32.882104 -73.929594
186004 1860 1860  9 11  0 NOT NAMED   27.264004 -87.467890  27.264004 -87.467890  25.175487 -84.299898  31.426073 -88.781209
186006 1860 1860  9 30  0 NOT NAMED   27.181818 -91.264220  27.412847 -91.731790  22.850114 -91.224456  32.926785 -90.134823
186105 1860 1861  9 27  6 NOT NAMED   36.953888 -74.888719  36.953888 -74.888719  33.604416 -76.968579  40.354743 -73.262846
186107 1860 1861 10  7 12 NOT NAMED   35.300000 -75.300000  35.300000 -75.300000  35.300000 -75.300000  35.300000 -75.300000
186108 1860 1861 11  1  6 NOT NAMED   34.923512 -76.508352  31.236626 -78.742324  28.281019 -80.501003  41.258684 -72.068129
186306 1860 1863  9 16  0 NOT NAMED   30.778432 -78.345854  26.950311 -79.492940  25.475050 -79.800564  37.707850 -75.781015
186309 1860 1863  9 29  0 NOT NAMED   29.864944 -92.753514  29.864944 -92.753514  29.076027 -95.027105  30.451716 -90.400770
186502 1860 1865  6 30 12 NOT NAMED   26.000000 -97.500000  26.000000 -97.500000  26.000000 -97.500000  26.000000 -97.500000
186504 1860 1865  9  6  0 NOT NAMED   21.950197 -78.335696  21.950197 -78.335696  16.004664 -57.374994  32.200163 -93.327820
186505 1860 1865  9  7  0 NOT NAMED   29.700000 -92.000000  29.700000 -92.000000  29.700000 -92.000000  29.700000 -92.000000
186507 1860 1865 10 18  0 NOT NAMED   19.898777 -79.398808  19.650100 -82.676332   9.850010 -80.474935  35.403660 -67.146545
186601 1860 1866  7 11 12 NOT NAMED   28.269080 -92.346782  28.269080 -92.346782  28.001130 -88.050000  28.551649 -96.799715
186701 1860 1867  6 21 12 NOT NAMED   32.730813 -79.589007  31.757362 -79.831929  30.675021 -80.000393  34.725205 -79.101602
186707 1860 1867 10  2  0 NOT NAMED   29.913021 -86.418186  29.913021 -86.418186  24.650169 -96.848421  34.326281 -73.802023
186802 1860 1868 10  1  0 NOT NAMED   32.817395 -82.745563  42.480097 -61.501770  25.850316 -94.226130  43.554007 -58.834921
186902 1860 1869  8 16  0 NOT NAMED   27.744527 -95.115447  27.744527 -95.115447  27.329448 -93.097405  28.130107 -97.148394
186905 1860 1869  9  4  0 NOT NAMED   28.224140 -89.424612  28.224140 -89.424612  26.975235 -88.723637  29.450512 -90.122969
186906 1860 1869  9  7  0 NOT NAMED   34.150037 -73.244623  31.462118 -73.900379  28.525094 -74.376620  40.911133 -71.610689
186910 1860 1869 10  4  0 NOT NAMED   40.453385 -70.897846  40.453385 -70.897846  36.114476 -72.728704  44.817071 -68.734404
187001 1870 1870  7 30 18 NOT NAMED   30.500000 -88.000000  30.500000 -88.000000  30.500000 -88.000000  30.500000 -88.000000
187009 1870 1870 10 19  0 NOT NAMED   26.421378 -80.016717  26.421378 -80.016717  20.225011 -84.000258  32.985190 -73.295848
187101 1870 1871  6  1  0 NOT NAMED   27.987591 -90.326381  25.106726 -84.820680  24.281216 -82.822747  32.825735 -95.757142
187102 1870 1871  6  8  0 NOT NAMED   28.151326 -93.540216  26.283409 -92.824578  24.627200 -91.468925  31.875005 -95.050584
187103 1870 1871  8 14  0 NOT NAMED   29.644883 -78.816916  26.787298 -76.336960  26.626737 -73.324523  31.330243 -82.949031
187104 1870 1871  8 17  0 NOT NAMED   24.739239 -66.028446  16.410795 -58.704614  11.705618 -33.072360  38.594605 -71.498242
187106 1870 1871  9  5  0 NOT NAMED   29.786200 -82.362282  29.786200 -82.362282  26.757906 -88.207400  32.306004 -76.553925
187107 1870 1871  9 30  0 NOT NAMED   28.145430 -88.518375  25.400743 -94.863346  21.551175 -92.898129  33.805374 -75.968135
187201 1870 1872  7  9  0 NOT NAMED   29.059376 -89.883546  25.502245 -90.934249  24.325287 -91.651353  33.300616 -89.102790
187205 1870 1872 10 22  0 NOT NAMED   34.468700 -77.931369  31.782704 -78.893896  24.454350 -87.782819  43.377075 -66.007522
