ID     dec  year mo dy hr name       allLat     allLon     midLat     midLon     firstLat   firstLon   lastLat    lastLon
185101 1850 1851  6 25  6 NOT NAMED   28.976692 -98.252924  28.976692 -98.252924  28.076275 -96.224576  30.250083 -100.024174
185102 1850 1851  7  5 12 NOT NAMED   22.200000 -97.600000  22.200000 -97.600000  22.200000 -97.600000  22.200000 -97.600000
185103 1850 1851  7 10 12 NOT NAMED   12.000000 -60.000000  12.000000 -60.000000  12.000000 -60.000000  12.000000 -60.000000
185104 1850 1851  8 16  0 NOT NAMED   26.829959 -72.331337  27.138592 -86.057313  13.881434 -50.322127  45.599889 -58.853256
185105 1850 1851  9 13  0 NOT NAMED   32.500000 -73.500000  32.500000 -73.500000  32.500000 -73.500000  32.500000 -73.500000
185106 1850 1851 10 16  0 NOT NAMED   33.509780 -75.022302  30.365258 -76.847310  29.350426 -77.601722  39.425580 -72.034785
185201 1850 1852  8 19  0 NOT NAMED   28.163609 -79.666525  26.457488 -85.498040  20.802497 -68.373627  38.758533 -70.083936
185202 1850 1852  9  5  0 NOT NAMED   18.433668 -68.134406  18.433668 -68.134406  17.578139 -65.597302  19.255235 -70.696598
185203 1850 1852  9  9  0 NOT NAMED   28.259225 -83.526512  28.259225 -83.526512  26.527588 -89.225591  31.430344 -75.554420
185204 1850 1852  9 22  0 NOT NAMED   22.631626 -68.480784  19.383278 -66.945289  16.551072 -59.398833  33.251977 -69.459732
185205 1850 1852 10  6  0 NOT NAMED   25.871634 -80.753677  25.871634 -80.753677  17.130446 -75.724365  37.321818 -71.856550
185301 1850 1853  8  5 12 NOT NAMED   32.500000 -69.000000  32.500000 -69.000000  32.500000 -69.000000  32.500000 -69.000000
185302 1850 1853  8 10 12 NOT NAMED   12.000000 -60.000000  12.000000 -60.000000  12.000000 -60.000000  12.000000 -60.000000
185303 1850 1853  8 30  0 NOT NAMED   26.494665 -53.959797  18.694673 -53.558524  12.433277 -26.047895  44.606580 -43.205512
185304 1850 1853  9  8  0 NOT NAMED   42.992571 -40.984397  42.992571 -40.984397  38.522550 -49.985805  46.731065 -31.170503
185305 1850 1853  9 21 12 NOT NAMED   20.000000 -95.000000  20.000000 -95.000000  20.000000 -95.000000  20.000000 -95.000000
185306 1850 1853  9 26  0 NOT NAMED   34.423069 -59.055787  34.162030 -60.356278  28.200738 -62.642532  36.776333 -57.656141
185307 1850 1853  9 28 12 NOT NAMED   15.000000 -37.000000  15.000000 -37.000000  15.000000 -37.000000  15.000000 -37.000000
185308 1850 1853 10 19  0 NOT NAMED   30.095364 -79.853681  29.776211 -80.245636  28.225626 -79.072959  31.902435 -79.653812
185401 1850 1854  6 25  0 NOT NAMED   26.486666 -96.653463  26.020576 -93.899720  26.001075 -93.250000  27.159962 -100.740924
185402 1850 1854  8 23 12 NOT NAMED   33.000000 -55.000000  33.000000 -55.000000  33.000000 -55.000000  33.000000 -55.000000
185403 1850 1854  9  7  0 NOT NAMED   35.005126 -72.873018  35.005126 -72.873018  27.604478 -78.090874  40.062346 -53.357917
185404 1850 1854  9 18  0 NOT NAMED   29.163782 -95.454490  29.163782 -95.454490  28.501144 -94.348815  29.850195 -96.375641
185405 1850 1854 10 20  0 NOT NAMED   29.872138 -65.377183  28.126507 -67.111704  26.275004 -67.575289  33.292449 -61.715910
185501 1850 1855  8  6 12 NOT NAMED   22.200000 -98.000000  22.200000 -98.000000  22.200000 -98.000000  22.200000 -98.000000
185502 1850 1855  8 10  0 NOT NAMED   49.155791 -34.167966  49.155791 -34.167966  47.053836 -37.522835  51.083186 -30.589350
